question,1,2,3,4,prompt
Mujer de 70 años in gresada por traumatismo craneoencefálico grave con hemorragia subarac-noidea secundaria. El se gundo día de in greso presenta episodio de disnea y dolor torácico. Se realiza angioTC de tórax que confirma el diag-nóstico de tromboembolismo de pulmón. El tra-tamiento de elección es: ,Heparina de bajo peso molecular.,Rivaroxaban.,Acenocumarol.,Filtro de vena cava inferior.,"Mujer de 70 años in gresada por traumatismo craneoencefálico grave con hemorragia subarac-noidea secundaria. El se gundo día de in greso presenta episodio de disnea y dolor torácico. Se realiza angioTC de tórax que confirma el diag-nóstico de tromboembolismo de pulmón. El tra-tamiento de elección es: 
1) Heparina de bajo peso molecular.
2) Rivaroxaban.
3) Acenocumarol.
4) Filtro de vena cava inferior.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Paciente de 71 años que consulta por ictericia con bilirrubina total 6 mg/dL (bilirrubina direc-ta 4 mg/dL), transaminasas normales y elevación de GGT 349 U/L y fosfatasa alcalina 260 U/L. En la eco grafía de abdomen se aprecia dilatación de la vía biliar intra y extrahepática. No tiene dolor y refiere pérdida de peso de unos 5 kg en el últi-mo mes. Se le realiza una colangiopancreatogra-fía retrógrada endoscópica apreciándose una estenosis abrupta del colédoco distal. ¿Cuál es su primera sospecha diagnóstica?: ",Colangitis esclerosante primaria.,Coledocolitiasis.,Cáncer de páncreas.,Hepatitis aguda.,"Paciente de 71 años que consulta por ictericia con bilirrubina total 6 mg/dL (bilirrubina direc-ta 4 mg/dL), transaminasas normales y elevación de GGT 349 U/L y fosfatasa alcalina 260 U/L. En la eco grafía de abdomen se aprecia dilatación de la vía biliar intra y extrahepática. No tiene dolor y refiere pérdida de peso de unos 5 kg en el últi-mo mes. Se le realiza una colangiopancreatogra-fía retrógrada endoscópica apreciándose una estenosis abrupta del colédoco distal. ¿Cuál es su primera sospecha diagnóstica?: 
1) Colangitis esclerosante primaria.
2) Coledocolitiasis.
3) Cáncer de páncreas.
4) Hepatitis aguda.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 58 años con cirrosis compensada Child A-5 secundaria a hí gado graso no alcohólico, sin otros antecedentes. Refi ere astenia sin anorexia ni pérdida de peso. En una eco grafía abdominal de cribado y posteriormente en una TC tora-coabdominal trifásica se d etectan cuatro lesiones hepáticas (una de ellas de 6 cm), hipervasculares en fase arterial y con lavado en fase venosa, con invasión de vena porta y sin metástasis extrahe-p á t i c a s .  N o  s e  o b s e r v a  a s c i t i s .  ¿ C u á l  d e  l o s  s i -guientes es el mejor tratamiento?: ",Quimioembolización transarterial.,Sorafenib.,Trasplante hepático.,Ablación con radiofrecuencia. ,"Varón de 58 años con cirrosis compensada Child A-5 secundaria a hí gado graso no alcohólico, sin otros antecedentes. Refi ere astenia sin anorexia ni pérdida de peso. En una eco grafía abdominal de cribado y posteriormente en una TC tora-coabdominal trifásica se d etectan cuatro lesiones hepáticas (una de ellas de 6 cm), hipervasculares en fase arterial y con lavado en fase venosa, con invasión de vena porta y sin metástasis extrahe-p á t i c a s .  N o  s e  o b s e r v a  a s c i t i s .  ¿ C u á l  d e  l o s  s i -guientes es el mejor tratamiento?: 
1) Quimioembolización transarterial.
2) Sorafenib.
3) Trasplante hepático.
4) Ablación con radiofrecuencia. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
¿Cuál de los si guientes tipos de apendicitis a guda cursa más frecuentemente con si gn o  d e l  p s o a s  positivo?: ,Apendicitis pélvica.,Apendicitis mesoceliaca.,Apendicitis retrocecal.,Apendicitis medioinguinal. ,"¿Cuál de los si guientes tipos de apendicitis a guda cursa más frecuentemente con si gn o  d e l  p s o a s  positivo?: 
1) Apendicitis pélvica.
2) Apendicitis mesoceliaca.
3) Apendicitis retrocecal.
4) Apendicitis medioinguinal. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Paciente de 45 años con un episodio de colecisti-tis hace tres meses en el que se encontró colelitia-sis por ecografía. Ahora presenta fosfatasa alca-lina alta y en una nueva ecografía litiasis vesicu-lares de pequeño tamaño con vía biliar de 1 cm de diámetro. ¿Qué exploración de las si guientes realizaría antes de la intervención quirúrgica?: ,Colangiografía retró grada endoscópica.,Ecoendoscopia.,Colangiografía transparietohepática.,Colangiorres onancia. ,"Paciente de 45 años con un episodio de colecisti-tis hace tres meses en el que se encontró colelitia-sis por ecografía. Ahora presenta fosfatasa alca-lina alta y en una nueva ecografía litiasis vesicu-lares de pequeño tamaño con vía biliar de 1 cm de diámetro. ¿Qué exploración de las si guientes realizaría antes de la intervención quirúrgica?: 
1) Colangiografía retró grada endoscópica.
2) Ecoendoscopia.
3) Colangiografía transparietohepática.
4) Colangiorres onancia. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Respecto a la fisura anal, señale la afirmación INCORRECTA: ",Consiste en un desgarro longitudinal de la piel que recubre la porción del canal anal distal a la línea dentada y origina un dolor intenso con la defecación.,Tiene dos formas típicas: la primaria o idiopá-tica aparece en individuos sanos y no se asocia a ningún tipo de enferme dad; la secundaria se detecta en pacientes que  sufren otro proceso.,"La mayoría de las fisuras primarias se locali-zan en la comisura anterior, al ser ésta una zo-na del canal anal más susceptible al traumatis-mo y a la isquemia de la mucosa.",Las fisuras secundarias a otras enfermedades aparecen con frecuencia en posiciones más la-terales.,"Respecto a la fisura anal, señale la afirmación INCORRECTA: 
1) Consiste en un desgarro longitudinal de la piel que recubre la porción del canal anal distal a la línea dentada y origina un dolor intenso con la defecación.
2) Tiene dos formas típicas: la primaria o idiopá-tica aparece en individuos sanos y no se asocia a ningún tipo de enferme dad; la secundaria se detecta en pacientes que  sufren otro proceso.
3) La mayoría de las fisuras primarias se locali-zan en la comisura anterior, al ser ésta una zo-na del canal anal más susceptible al traumatis-mo y a la isquemia de la mucosa.
4) Las fisuras secundarias a otras enfermedades aparecen con frecuencia en posiciones más la-terales.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Mujer de 24 años intervenida hace un año de endometriosis tras presentar episodios de dolor abdominal intensos especialmente relacionados con el ciclo menstrual, acompañados ocasional-mente de náuseas y vómito s. A pesar de la inter-vención no ha apreciado ninguna me joría, con progresivo empeoramiento y extensión del dolor a todo el cuerpo, junto con debilidad de extremi-dades. Los análisis rutinarios son normales, los anticuerpos antinucleares y el factor reumatoide son ne gativos, solo existe al guna analítica aislada con un Na de 132 mEq/L y alguna ALT (GOT) discretamente elevada. Eco grafía abdominal y TC abdominopélvica recientes normales. Hace dos meses le diagnosticaron de depresión y fi-bromialgia. El tratamien to antidepresivo y anal-gésico con derivados opiáceos no parece tener ningún efecto. Lleva meses sin apenas levantarse de la cama. Nos piden una segunda opinión. Indica cuál de las si guientes pruebas dia gnósticas deberíamos comprobar que ha sido realizada: ",Estudio del gen MEFV.,Porfobilinógeno y ácido aminolevulínico en orina.,Anticuerpos antimitocondriales en sangre.,Calprotectina en heces.,"Mujer de 24 años intervenida hace un año de endometriosis tras presentar episodios de dolor abdominal intensos especialmente relacionados con el ciclo menstrual, acompañados ocasional-mente de náuseas y vómito s. A pesar de la inter-vención no ha apreciado ninguna me joría, con progresivo empeoramiento y extensión del dolor a todo el cuerpo, junto con debilidad de extremi-dades. Los análisis rutinarios son normales, los anticuerpos antinucleares y el factor reumatoide son ne gativos, solo existe al guna analítica aislada con un Na de 132 mEq/L y alguna ALT (GOT) discretamente elevada. Eco grafía abdominal y TC abdominopélvica recientes normales. Hace dos meses le diagnosticaron de depresión y fi-bromialgia. El tratamien to antidepresivo y anal-gésico con derivados opiáceos no parece tener ningún efecto. Lleva meses sin apenas levantarse de la cama. Nos piden una segunda opinión. Indica cuál de las si guientes pruebas dia gnósticas deberíamos comprobar que ha sido realizada: 
1) Estudio del gen MEFV.
2) Porfobilinógeno y ácido aminolevulínico en orina.
3) Anticuerpos antimitocondriales en sangre.
4) Calprotectina en heces.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 34 años, que acude a ur gencias por disnea de tres semanas de evolución, ju n t o  a  l a  presencia de orina roja intermitente en los últi-mos diez días. En la exploración física presenta: temperatura 36,6 ºC, T A 132/72 mmHg, frecuen-cia respiratoria 16 rpm y cardiaca 88 lpm, junto a crepitantes finos diseminados en la ausculta-ción pulmonar. Analítica de sangre: BUN 56 mg/dL, creatinina 5,8 m g/dL. Análisis de orina: hematíes 4+, proteínas 2+. Se realiza una biopsia renal que revela una glomerulonefritis difusa con semilunas. ¿Cuál de las siguientes pruebas con-firmaría el diagnóstico?: ",Concentración de complemento C3.,Títulos de anticuerpos antimembrana basal glomerular.,Títulos de antiestreptolisina O.,Cultivo de heces para Escherichia coliO157:H7.,"Varón de 34 años, que acude a ur gencias por disnea de tres semanas de evolución, ju n t o  a  l a  presencia de orina roja intermitente en los últi-mos diez días. En la exploración física presenta: temperatura 36,6 ºC, T A 132/72 mmHg, frecuen-cia respiratoria 16 rpm y cardiaca 88 lpm, junto a crepitantes finos diseminados en la ausculta-ción pulmonar. Analítica de sangre: BUN 56 mg/dL, creatinina 5,8 m g/dL. Análisis de orina: hematíes 4+, proteínas 2+. Se realiza una biopsia renal que revela una glomerulonefritis difusa con semilunas. ¿Cuál de las siguientes pruebas con-firmaría el diagnóstico?: 
1) Concentración de complemento C3.
2) Títulos de anticuerpos antimembrana basal glomerular.
3) Títulos de antiestreptolisina O.
4) Cultivo de heces para Escherichia coliO157:H7.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Paciente de 36 años que acude a ur gencias por mal estado general. No tiene analíticas previas. Se detecta creatinina 10 mg/dL, Hb 6,5 g/L, au-sencia de microalbuminuria, PTH 500 pg/ml, diuresis total conservada. Eco grafía: riñones reducidos de tamaño. ¿Cuál de los si guientes diagnósticos es más probable?: ",Poliquistosis renal autosómica dominante.,Glomerulonefritis rápidamente evolutiva.,Nefropatía tubulointersticial crónica.,Nefropatía diabética. ,"Paciente de 36 años que acude a ur gencias por mal estado general. No tiene analíticas previas. Se detecta creatinina 10 mg/dL, Hb 6,5 g/L, au-sencia de microalbuminuria, PTH 500 pg/ml, diuresis total conservada. Eco grafía: riñones reducidos de tamaño. ¿Cuál de los si guientes diagnósticos es más probable?: 
1) Poliquistosis renal autosómica dominante.
2) Glomerulonefritis rápidamente evolutiva.
3) Nefropatía tubulointersticial crónica.
4) Nefropatía diabética. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Mujer de 32 años, embarazada de 10 semanas, que presenta en control rutinario bacteriuria asintomática. ¿Cuál de las si guientes medidas le parece más apropiada?: ",Vigilancia estrecha y si aparecen síntomas iniciar tratamiento antibiótico empírico con amoxicilina 7-10 días.,"Tratamiento empírico con fosfomicina a dosis única de 3 g y, si persist e la bacteriuria, urocul-tivo para valorar la sensibilidad.",Tomar muestra para urocultivo y comenzar de inmediato tratamiento empírico con betalactá-micos durante 4-7 días.,"Ecografía para descartar complicaciones, uro-cultivo e iniciar tratamiento empírico con ni-trofurantoína 5-7 días. ","Mujer de 32 años, embarazada de 10 semanas, que presenta en control rutinario bacteriuria asintomática. ¿Cuál de las si guientes medidas le parece más apropiada?: 
1) Vigilancia estrecha y si aparecen síntomas iniciar tratamiento antibiótico empírico con amoxicilina 7-10 días.
2) Tratamiento empírico con fosfomicina a dosis única de 3 g y, si persist e la bacteriuria, urocul-tivo para valorar la sensibilidad.
3) Tomar muestra para urocultivo y comenzar de inmediato tratamiento empírico con betalactá-micos durante 4-7 días.
4) Ecografía para descartar complicaciones, uro-cultivo e iniciar tratamiento empírico con ni-trofurantoína 5-7 días. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 73 años que acude a ur gencias por dolor en zona lumbosacra que irradia hacia am-bos flancos e hipogastrio de dos semanas de evo-lución que no cede con ibuprofeno a dosis altas. Tiene antecedentes de hipertensión, aneurisma de aorta infrarrenal y hernia discal L5-S1. Refie-re pérdida de 6 kg de peso en el último mes. Ex-ploración: Regular estado general, palidez mu-cocutánea y puñopercusión  renal dudosa bilate-ral, sin otros hallazgos. Analítica: Hb 8,2 g/dL, VCM 81 fL, leucocitos 6.330 (fórmula normal), glucosa 89 m g/ d L ,  u r e a  2 2 8  m g/dL, creatinina 5,4 m g/dL, Na 134 mEq/L, K 5,1mEq/L, Ca 11,3 mg/dL, proteínas totales  8,2 g/dL, albúmina 3,0 g/dL, PCR 0,54 m g/dL. Orina: proteínas 30 mg/dL con proteinuria es t i m a d a  1 , 5  g / 2 4 h .  S e -dimento de orina: leucoci tos 20-30/campo, eri-trocitos >50/campo. ¿Qué dia gnóstico le parece más probable como causa del fracaso renal?: ",Nefropatía intersticial aguda por analgésicos.,Mieloma múltiple.,Pielonefritis aguda.,Progresión del aneurisma aórtico con afecta-ción bilateral de las arterias renales. ,"Varón de 73 años que acude a ur gencias por dolor en zona lumbosacra que irradia hacia am-bos flancos e hipogastrio de dos semanas de evo-lución que no cede con ibuprofeno a dosis altas. Tiene antecedentes de hipertensión, aneurisma de aorta infrarrenal y hernia discal L5-S1. Refie-re pérdida de 6 kg de peso en el último mes. Ex-ploración: Regular estado general, palidez mu-cocutánea y puñopercusión  renal dudosa bilate-ral, sin otros hallazgos. Analítica: Hb 8,2 g/dL, VCM 81 fL, leucocitos 6.330 (fórmula normal), glucosa 89 m g/ d L ,  u r e a  2 2 8  m g/dL, creatinina 5,4 m g/dL, Na 134 mEq/L, K 5,1mEq/L, Ca 11,3 mg/dL, proteínas totales  8,2 g/dL, albúmina 3,0 g/dL, PCR 0,54 m g/dL. Orina: proteínas 30 mg/dL con proteinuria es t i m a d a  1 , 5  g / 2 4 h .  S e -dimento de orina: leucoci tos 20-30/campo, eri-trocitos >50/campo. ¿Qué dia gnóstico le parece más probable como causa del fracaso renal?: 
1) Nefropatía intersticial aguda por analgésicos.
2) Mieloma múltiple.
3) Pielonefritis aguda.
4) Progresión del aneurisma aórtico con afecta-ción bilateral de las arterias renales. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 45 años que es traído a ur gencias por presentar crisis tónico-clónicas en la vía pública. Se encuentra confundido y con respuestas poco coherentes e imprecisas. R evisando su historia, vemos que está dia gnosticado de esquizofrenia y cuadro depresivo, pero parece que lleva unas semanas sin tomar el tratamiento. Exploración: estuporoso, sin otros hallaz gos. Analítica con hemo grama normal, glucosa 98 m g/dL, urea 37 mg/dL, creatinina 0,8 m g/dL, Na 118 mEq/L, K 3,4 mEq/L, Ca 9,7 m g/dL, osmolaridad sérica 252 mOsm/k g, osmolaridad urinaria 78 mOsm/k g, densidad de orina 1002, sedimento normal. ¿Cuál es la causa más probable de sus alteraciones electrolíticas?: ",Insuficiencia suprarrenal.,Polidipsia primaria.,Diabetes insípida.,Síndrome de secreción inadecuada de ADH.,"Varón de 45 años que es traído a ur gencias por presentar crisis tónico-clónicas en la vía pública. Se encuentra confundido y con respuestas poco coherentes e imprecisas. R evisando su historia, vemos que está dia gnosticado de esquizofrenia y cuadro depresivo, pero parece que lleva unas semanas sin tomar el tratamiento. Exploración: estuporoso, sin otros hallaz gos. Analítica con hemo grama normal, glucosa 98 m g/dL, urea 37 mg/dL, creatinina 0,8 m g/dL, Na 118 mEq/L, K 3,4 mEq/L, Ca 9,7 m g/dL, osmolaridad sérica 252 mOsm/k g, osmolaridad urinaria 78 mOsm/k g, densidad de orina 1002, sedimento normal. ¿Cuál es la causa más probable de sus alteraciones electrolíticas?: 
1) Insuficiencia suprarrenal.
2) Polidipsia primaria.
3) Diabetes insípida.
4) Síndrome de secreción inadecuada de ADH.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con la prostatectomía radical para el tratamiento del cáncer de próstata, señale la respuesta INCORRECTA: ","Los factores relacionados con la continencia después de una prostatectomía radical incluyen edad avanzada, longitud de la uretra y expe-riencia del cirujano.","La recuperación de la función eréctil tras la prostatectomía radical se asocia con individuos más jóvenes, calidad de las erecciones antes de la operación y ausencia de daño a los haces neurovasculares.",El alprostadilo puede ayudar a recuperar una función sexual satisfactoria.,"Un PSA >0,01 tras una prostatectomía radical es indicativo de recidiva bioquímica.","En relación con la prostatectomía radical para el tratamiento del cáncer de próstata, señale la respuesta INCORRECTA: 
1) Los factores relacionados con la continencia después de una prostatectomía radical incluyen edad avanzada, longitud de la uretra y expe-riencia del cirujano.
2) La recuperación de la función eréctil tras la prostatectomía radical se asocia con individuos más jóvenes, calidad de las erecciones antes de la operación y ausencia de daño a los haces neurovasculares.
3) El alprostadilo puede ayudar a recuperar una función sexual satisfactoria.
4) Un PSA >0,01 tras una prostatectomía radical es indicativo de recidiva bioquímica.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
En el cáncer de pró stata es cierto que: ,"Los pacientes con enfe rmedad clínicamente localizada se tratan con prostatectomía radical, radioterapia o vigilancia activa.","Para su diagnóstico, los esquemas contempo-ráneos aconsejan biopsias con 10 cilindros.","Después de la prostatectomía radical, el PSA se vuelve indetectable en sangre en dos sema-nas.","En su tratamiento se utilizan antiandrógenos no esteroideos de primera generación, como bicalutamida y abiraterona.","En el cáncer de pró stata es cierto que: 
1) Los pacientes con enfe rmedad clínicamente localizada se tratan con prostatectomía radical, radioterapia o vigilancia activa.
2) Para su diagnóstico, los esquemas contempo-ráneos aconsejan biopsias con 10 cilindros.
3) Después de la prostatectomía radical, el PSA se vuelve indetectable en sangre en dos sema-nas.
4) En su tratamiento se utilizan antiandrógenos no esteroideos de primera generación, como bicalutamida y abiraterona.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
La realización de la biopsia selectiva del ganglio centinela y el mapa linfático en el cáncer de ma-ma: ,Está indicada en el cáncer de mama disemina-do.,Está indicada si hay afectación clínica de los ganglios axilares.,Si es negativa no necesita ampliar la cirugía axilar.,No está indicada en varones con cáncer de mama.,"La realización de la biopsia selectiva del ganglio centinela y el mapa linfático en el cáncer de ma-ma: 
1) Está indicada en el cáncer de mama disemina-do.
2) Está indicada si hay afectación clínica de los ganglios axilares.
3) Si es negativa no necesita ampliar la cirugía axilar.
4) No está indicada en varones con cáncer de mama.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con el tratamiento con radioterapia, señale la respuesta INCORRECTA: ",Puede ser una alternativ a de tratamiento cura-tivo en diversas situaciones en oncología.,Se emplea también para determinadas patolo-gías benignas.,Está contraindicada para el tratamiento de tu-mores pediátricos.,Tiene una demostrada utilidad en el control del dolor por metástasis óseas. ,"En relación con el tratamiento con radioterapia, señale la respuesta INCORRECTA: 
1) Puede ser una alternativ a de tratamiento cura-tivo en diversas situaciones en oncología.
2) Se emplea también para determinadas patolo-gías benignas.
3) Está contraindicada para el tratamiento de tu-mores pediátricos.
4) Tiene una demostrada utilidad en el control del dolor por metástasis óseas. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Paciente con diagnóstico de glioblastoma multi-forme. El informe de anatomía patoló gica refiere la presencia de metilación del promotor del gen MGMT (metil guanina metil transferasa). Con respecto al tratamiento  de este paciente: ,Esta información no es relevante.,La presencia de la metilación aumenta la su-pervivencia en paciente s tratados con temozo-lamida.,La presencia de la metil ación contraindicaría el tratamiento con temozolamida.,La presencia de la metilación nos apoyaría la decisión de tratamiento con cisplatino frente al uso de un agente alquilante. ,"Paciente con diagnóstico de glioblastoma multi-forme. El informe de anatomía patoló gica refiere la presencia de metilación del promotor del gen MGMT (metil guanina metil transferasa). Con respecto al tratamiento  de este paciente: 
1) Esta información no es relevante.
2) La presencia de la metilación aumenta la su-pervivencia en paciente s tratados con temozo-lamida.
3) La presencia de la metil ación contraindicaría el tratamiento con temozolamida.
4) La presencia de la metilación nos apoyaría la decisión de tratamiento con cisplatino frente al uso de un agente alquilante. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
La radioterapia en el  tratamiento del cáncer de mama localmente avanzado y pronóstico molecu-lar adverso: ,Debe incluir las regiones ganglionares locorre-gionales.,Está contraindicada después de la mastecto-mía.,Está contraindicada después de la quimiotera-pia neoadyuvante.,Su mejor alternativa estética es la irradiación parcial de la mama. ,"La radioterapia en el  tratamiento del cáncer de mama localmente avanzado y pronóstico molecu-lar adverso: 
1) Debe incluir las regiones ganglionares locorre-gionales.
2) Está contraindicada después de la mastecto-mía.
3) Está contraindicada después de la quimiotera-pia neoadyuvante.
4) Su mejor alternativa estética es la irradiación parcial de la mama. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 19 años, asintomático, que presenta en una analítica preoperatoria una trombopenia (plaquetas 43 x 109/L) con niveles de hemoglobi-na y leucocitos normales. ¿Cuál de las si guientes actuaciones hay que realizar en primer lugar?: ",Iniciar tratamiento con prednisona vía oral.,Realizar una biopsia de medula ósea para ver si la trombopenia es de origen central o perifé-rico.,Realizar un examen morfológico del frotis sanguíneo para descartar la presencia de agre-gados plaquetarios inducidos por el anticoagu-lante.,Transfundir un concentrado de plaquetas para evitar un problem a hemorrágico.,"Varón de 19 años, asintomático, que presenta en una analítica preoperatoria una trombopenia (plaquetas 43 x 109/L) con niveles de hemoglobi-na y leucocitos normales. ¿Cuál de las si guientes actuaciones hay que realizar en primer lugar?: 
1) Iniciar tratamiento con prednisona vía oral.
2) Realizar una biopsia de medula ósea para ver si la trombopenia es de origen central o perifé-rico.
3) Realizar un examen morfológico del frotis sanguíneo para descartar la presencia de agre-gados plaquetarios inducidos por el anticoagu-lante.
4) Transfundir un concentrado de plaquetas para evitar un problem a hemorrágico.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 35 años, diagnosticado de hemofilia A desde la infancia, que recibe un trasplante hepá-tico por hepatopatía crónica por virus de hepati-tis C. Seis meses después del procedimiento pre-senta un estudio de coagulación normal con acti-vidad de factor VIII del 100 %. ¿Cuál de las siguientes afirmaciones es cierta?: ",La hemofilia se ha curado ya que el factor VIII se sintetiza en el hígado.,El tratamiento inmunosupresor ha solucionado el problema ya que estamos ante un cuadro au-toinmune.,La larga vida media de los factores antihemofí-licos usados en el trasplante hace que su efecto perdure varios meses.,"Solo puede tratarse de un error o artefacto de laboratorio, ya que la hemofilia A es una en-fermedad genética incurable hoy en día.","Varón de 35 años, diagnosticado de hemofilia A desde la infancia, que recibe un trasplante hepá-tico por hepatopatía crónica por virus de hepati-tis C. Seis meses después del procedimiento pre-senta un estudio de coagulación normal con acti-vidad de factor VIII del 100 %. ¿Cuál de las siguientes afirmaciones es cierta?: 
1) La hemofilia se ha curado ya que el factor VIII se sintetiza en el hígado.
2) El tratamiento inmunosupresor ha solucionado el problema ya que estamos ante un cuadro au-toinmune.
3) La larga vida media de los factores antihemofí-licos usados en el trasplante hace que su efecto perdure varios meses.
4) Solo puede tratarse de un error o artefacto de laboratorio, ya que la hemofilia A es una en-fermedad genética incurable hoy en día.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Varón de 65 años que consulta por astenia pro-gresiva y sensación de hormi gueo en manos y pies. En la exploración física presenta tez amari-llenta y disminución de la sensibilidad vibratoria y posicional en zonas distales. En el hemo grama se observa VCM 120 fl con anisocitosis. Lo más probable es que padezca: ,Mielopatía cervicoartrósica.,Mielitis necrosante subaguda.,Mielosis funicular.,Mielopatía crónica de la esclerosis múltiple.,"Varón de 65 años que consulta por astenia pro-gresiva y sensación de hormi gueo en manos y pies. En la exploración física presenta tez amari-llenta y disminución de la sensibilidad vibratoria y posicional en zonas distales. En el hemo grama se observa VCM 120 fl con anisocitosis. Lo más probable es que padezca: 
1) Mielopatía cervicoartrósica.
2) Mielitis necrosante subaguda.
3) Mielosis funicular.
4) Mielopatía crónica de la esclerosis múltiple.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 41 años ingresado en la UCI por neu-monía grave que precisa intubación y adminis-tración de catecolaminas. A la exploración se observa sangrado alrededor de los lu gares de venopunción. Sus resultados de laboratorio son: 15.500 leucocitos; Hb 10,4 g/ d L ;  H c t o  3 2  % ;  52.000 plaquetas; LDH 820 U (normal 110-210); recuento de reticulocitos 4 %. ¿Cuál de los si-guientes resultados NO es de esperar en este paciente?: ",Fibrinógeno bajo.,Concentración elevada de antitrombina y pro-teína C.,Tiempo de protrombina y tiempo parcial de tromboplastina activada alargados.,Presencia de productos de degradación de la fibrina (dímero D).,"Varón de 41 años ingresado en la UCI por neu-monía grave que precisa intubación y adminis-tración de catecolaminas. A la exploración se observa sangrado alrededor de los lu gares de venopunción. Sus resultados de laboratorio son: 15.500 leucocitos; Hb 10,4 g/ d L ;  H c t o  3 2  % ;  52.000 plaquetas; LDH 820 U (normal 110-210); recuento de reticulocitos 4 %. ¿Cuál de los si-guientes resultados NO es de esperar en este paciente?: 
1) Fibrinógeno bajo.
2) Concentración elevada de antitrombina y pro-teína C.
3) Tiempo de protrombina y tiempo parcial de tromboplastina activada alargados.
4) Presencia de productos de degradación de la fibrina (dímero D).

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
¿Cuál de los siguientes factores NO se ha asocia-do específicamente a un mayor ries go de caídas en personas mayores?: ,Osteoporosis.,Déficit visual.,Artrosis.,Polifarmacia. ,"¿Cuál de los siguientes factores NO se ha asocia-do específicamente a un mayor ries go de caídas en personas mayores?: 
1) Osteoporosis.
2) Déficit visual.
3) Artrosis.
4) Polifarmacia. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
